Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
510,1716.44335,13.11648,61.5,37.6,49.8,6.11411,876.31438,13,0.6953255042962708
515,1619.5253699999994,12.50018,61.5,36.6,49.8,6.00811,763.63181,13,1.009268866679605
520,1508.78573,11.57172,61.5,36.6,49.8,6.13163,602.62094,0,1.43491249444641
530,1447.52549,11.10549,60.5,36.6,48.8,5.04087,529.5285,5,1.6648327209327383
535,1497.69531,11.38363,60.5,36.6,48.8,5.5268,578.26738,5,1.13149229318915
540,1600.34605,12.20403,60.5,36.6,48.8,5.8158,712.8939999999999,13,1.5570166440076418
545,1667.0539,12.84835,60.5,36.6,47.8,7.60085,823.22,8,0.23493100326705685
550,1595.18344,12.17402,60.5,35.6,47.8,6.02538,704.4288799999997,13,1.27844589758846
555,1484.02351,11.42365,59.5,35.6,47.8,6.1227199999999975,578.68525,5,1.4530785236928971
560,1473.38327,11.29158,59.5,35.6,47.8,6.73665,562.029,0,0.07008914811624707
565,1468.38569,11.25356,59.5,35.6,47.8,6.77871,553.86838,0,0.12455821081979525
570,1270.18281,9.73681,58.5,35.6,46.8,4.34725,361.89277999999996,11,1.6971176332941351
575,1197.5018699999996,9.152519999999999,58.5,35.6,46.8,4.81752,299.59212,11,0.2788616316951645
580,1232.27405,9.47868,57.5,35.6,45.8,4.4150800000000014,332.9624100000001,11,1.4178287027416705
585,1258.9122,9.66878,57.5,34.6,45.8,4.8685800000000015,351.15156,11,0.6485562973744396
590,1271.78861,9.66077,57.5,34.6,44.8,5.66498,347.47803,5,0.8577234903333335
595,1420.03188,10.88738,56.5,34.6,44.8,5.3198,500.23031,5,0.9721067585128292
600,1529.90105,11.62375,56.5,34.6,44.8,7.04626,610.72406,0,0.7306539330489304
605,1493.4931199999999,11.47367,56.5,34.6,44.8,5.93323,587.3458099999998,5,1.2605038425820527
610,1510.06148,11.56972,56.5,34.6,43.8,6.1569,604.3508099999998,0,1.3820157365288899
615,1554.22811,11.91189,56.5,33.6,43.8,6.67117,659.13256,0,0.7518470011826731
620,1638.99014,12.614239999999999,56.5,33.6,43.8,6.40966,777.24131,13,0.4416565226179052
625,1581.93179,12.05596,57.5,33.6,43.8,5.8227800000000025,687.22631,13,1.6668022191266634
630,1579.8459300000006,12.09798,57.5,33.6,43.8,6.5705300000000015,694.2835,0,1.0918179372773689
635,1696.4684899999993,12.99242,57.5,33.6,43.8,6.8533399999999975,850.14925,13,0.9302050061177359
640,1679.6601699999999,12.79833,57.5,33.6,43.8,6.747910000000001,806.28125,13,0.7380824416572733
645,1449.5814599999999,11.10149,57.5,33.6,43.8,5.12211,535.09406,5,1.513436927265421
650,1266.23589,9.7148,57.5,33.6,43.8,5.04694,354.3675,11,0.7742292860407801
655,1297.61636,9.958919999999999,57.5,33.6,43.8,5.37859,385.15641,5,0.9199560039521008
660,1314.10949,10.08098,57.5,33.6,43.8,5.3678,394.72966,5,0.8969984902259274
670,1346.55563,10.24306,56.5,33.6,42.8,5.62105,422.39634,5,0.29350820413464035
675,1446.2947900000001,11.155510000000001,56.5,33.6,42.8,6.17181,537.57925,5,1.3202650464792889
680,1537.23976,11.717789999999999,56.5,33.6,42.8,5.7783,632.05519,5,1.5169177735317083
685,1627.05913,12.43615,56.5,33.6,42.8,6.1098099999999995,752.502,13,0.8934013695352625
690,1457.91047,11.17352,56.5,33.6,42.8,6.15525,545.16206,5,1.3243770430445845
695,1265.17022,9.73881,56.5,33.6,42.8,4.75568,358.59775,11,0.8223454145556939
700,1356.2503199999999,10.3111,56.5,33.6,42.8,5.85305,425.35019000000005,5,0.4182744160269727
705,1523.5379300000006,11.67977,56.5,33.6,42.8,7.08628,616.98988,0,0.83358855515175
710,1456.0195199999994,11.05947,56.5,33.6,42.8,5.62167,527.0015,5,0.6583301143059386
715,1466.40479,11.26357,56.5,33.6,42.8,6.81894,556.7681299999998,0,0.16483873486932846
720,1709.11966,13.10248,56.5,33.6,42.8,7.07468,884.5563800000001,8,1.1902535684955355
725,1550.47625,11.88988,56.5,33.6,42.8,5.76654,654.60938,5,1.6998240617674238
730,1546.12405,11.84385,56.5,33.6,42.8,6.0397300000000005,646.44188,0,1.7315770174099143
735,1624.70314,12.44215,56.5,33.6,42.8,6.89467,746.16162,13,1.21517791647976
740,1477.22522,11.251560000000001,56.5,33.6,42.8,5.6095,552.9340599999998,5,0.8735966298700584
745,1261.85366,9.682789999999999,56.5,33.6,42.8,4.50894,354.02281,11,1.273146539010927
750,1361.50288,10.49319,56.5,33.6,42.8,5.66834,443.01034000000004,5,0.09221880415395002
755,1614.54296,12.3501,56.5,33.6,42.8,7.09163,720.63306,0,1.4297486148663563
760,1614.1378300000001,12.276069999999999,56.5,33.6,42.8,7.0148399999999995,718.1593799999997,0,1.3294842079278475
765,1748.1990600000001,13.40262,57.5,33.6,42.8,8.02135,1087.05788,4,0.6420669481546337
770,1746.14294,13.370610000000001,57.5,33.6,42.8,8.00357,935.7524400000001,8,1.0289620896516396
775,1676.14841,12.90238,58.5,33.6,42.8,6.846,823.5276200000003,13,0.914095875383214
780,1712.6464399999998,13.196520000000001,58.5,33.6,42.8,8.005419999999999,886.23881,8,0.8584746458530073
790,1561.08661,12.00393,58.5,33.6,42.8,6.2212,675.54794,13,1.2671364002452732
795,1620.7861,12.47817,58.5,33.6,42.8,6.7509,739.03444,13,1.0157460321788792
800,1737.6789399999998,13.31458,58.5,33.6,42.8,6.56165,927.05969,13,0.7459894608088726
805,1752.0558899999999,13.422629999999998,58.5,33.6,42.8,8.32431,1110.00625,4,1.0431070920730712
810,1757.6836899999994,13.38662,59.5,33.6,43.8,9.19778,1772.49475,1,0.6690649915602573
815,1751.75587,13.398620000000001,60.5,33.6,43.8,8.29626,1361.227,12,0.6921568493906808
820,1739.2695800000001,13.38061,60.5,33.6,43.8,8.42715,1347.71425,12,0.5011765551893045
830,1744.4922399999994,13.37461,61.5,33.6,44.8,9.3722,1518.11275,1,1.1164540738412094
835,1760.73025,13.45865,61.5,33.6,45.8,8.22625,1459.1036199999999,12,0.9411742664936342
845,1744.58234,13.40262,62.5,34.6,46.8,8.44662,1847.4251199999999,1,1.8378432782125813
850,1738.2791300000001,13.404620000000001,62.5,34.6,46.8,9.62049,1869.47575,3,1.0832576672324956
855,1765.65261,13.44665,62.5,34.6,47.8,10.024280000000001,2027.30338,3,0.9314538606958782
865,1748.39412,13.430639999999999,63.5,35.6,48.8,9.838510000000001,1635.94675,1,1.2718387060614418
870,1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662,3,1.0841184351308593
875,1752.8364100000001,13.41063,63.5,35.6,49.8,7.59612,1170.17288,4,0.5438163975019754
880,1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.4733800000001,3,1.1488653036171672
890,1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575,3,0.9760990223191904
900,1757.5637100000001,13.42864,63.5,36.6,50.8,9.902619999999999,1505.91925,1,1.7812411941463222
905,1738.51923,13.376610000000001,63.5,36.6,50.8,8.017539999999999,1025.2808699999996,4,1.0536598629443452
910,1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325,4,0.9451566675446864
915,1735.15748,13.3566,63.5,36.6,51.8,6.21534,1075.68575,13,1.8356148134721788
