,date,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
850,2018-07-01 14:14:00.000,1738.27913,13.40462,62.5,34.6,46.8,9.62049,1869.47575,7,0.9894351356319835
855,2018-07-01 14:19:00.000,1765.65261,13.44665,62.5,34.6,47.8,10.02428,2027.30338,7,0.9087628029725117
860,2018-07-01 14:24:00.000,1763.8968,13.44064,63.5,34.6,48.8,7.41631,1485.55425,11,2.4861641608538987
865,2018-07-01 14:29:00.000,1748.39412,13.43064,63.5,35.6,48.8,9.83851,1635.94675,1,1.4003537655577296
870,2018-07-01 14:34:00.000,1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662,7,0.9872323495686437
875,2018-07-01 14:39:00.000,1752.83641,13.41063,63.5,35.6,49.8,7.59612,1170.17288,11,0.41055595510030896
880,2018-07-01 14:44:00.000,1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.47338,7,1.0517494733977217
885,2018-07-01 14:49:00.000,1764.4520899999998,13.514679999999998,63.5,35.6,49.8,9.6665,1385.5279999999998,8,2.063389925694267
890,2018-07-01 14:54:00.000,1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575,7,0.8956271264704709
895,2018-07-01 14:59:00.000,1741.65575,13.36661,63.5,36.6,50.8,7.607410000000002,1663.566,8,3.008127838192387
900,2018-07-01 15:04:00.000,1757.56371,13.42864,63.5,36.6,50.8,9.90262,1505.91925,1,1.8526796675052482
905,2018-07-01 15:09:00.000,1738.51923,13.37661,63.5,36.6,50.8,8.017539999999999,1025.2808699999996,11,1.2104352259152638
910,2018-07-01 15:14:00.000,1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325,11,0.8004854267164361
915,2018-07-01 15:19:00.000,1735.15748,13.3566,63.5,36.6,51.8,6.21534,1075.68575,0,1.7999413076918112
920,2018-07-01 15:24:00.000,1740.3501199999996,13.39862,63.5,36.6,51.8,8.54149,1294.44838,8,0.5705522975014818
925,2018-07-01 15:29:00.000,1757.39854,13.44665,63.5,36.6,51.8,6.27461,1112.25837,0,2.0044845222706233
930,2018-07-01 15:34:00.000,1746.42809,13.3506,63.5,36.6,51.8,7.952339999999999,928.95719,10,0.6694750862249625
935,2018-07-01 15:39:00.000,1670.55079,12.72029,63.5,36.6,51.8,6.42663,790.5785599999998,0,0.6261004981453967
940,2018-07-01 15:44:00.000,1571.99699,12.08197,63.5,36.6,51.8,4.8778,699.22025,9,2.7314574525657083
945,2018-07-01 15:49:00.000,1365.28477,10.42115,62.5,36.6,51.8,4.86345,449.37519,2,1.5692219125730342
950,2018-07-01 15:54:00.000,1632.40178,12.5382,62.5,36.6,50.8,4.9703,761.58525,9,2.9878763740167726
955,2018-07-01 15:59:00.000,1310.68782,10.04697,61.5,36.6,50.8,5.91135,401.39525,9,0.6813294383125444
960,2018-07-01 16:04:00.000,1277.1911699999996,9.7068,60.5,36.6,50.8,6.01072,353.41253,9,1.1308151488211873
965,2018-07-01 16:10:00.000,1175.27583,8.95242,59.5,36.6,49.8,5.4931800000000015,273.72078,2,1.4375274089332863
970,2018-07-01 16:15:00.000,1125.03108,8.62026,58.5,36.6,48.8,4.38224,247.25475,14,1.3809412517415565
975,2018-07-01 16:20:00.000,1296.55083,9.90289,58.5,36.6,48.8,6.12167,369.65153,9,1.213705865498444
980,2018-07-01 16:25:00.000,1397.6558300000004,10.73331,58.5,36.6,47.8,5.58452,478.03656,9,0.32133215047981906
985,2018-07-01 16:30:00.000,1428.97638,10.87938,58.5,35.6,47.8,4.6094,499.26962,2,2.254365747531729
990,2018-07-01 16:35:00.000,1465.6394300000004,11.16352,58.5,35.6,46.8,5.74161,544.52756,9,0.671194462251234
995,2018-07-01 16:40:00.000,1465.1140300000004,11.29558,58.5,35.6,46.8,6.0207,564.6904400000002,9,1.0938918078190638
1000,2018-07-01 16:45:00.000,1453.51337,11.16152,58.5,35.6,46.8,5.2252,541.41,9,1.2958045229951174
1005,2018-07-01 16:50:00.000,1718.04915,13.23054,58.5,35.6,45.8,6.7783,912.565,0,0.5559090106278806
1010,2018-07-01 16:55:00.000,1278.692,9.86087,58.5,34.6,45.8,5.3101699999999985,369.56216,2,1.2029467587878326
1015,2018-07-01 17:00:00.000,1458.4659,11.16752,57.5,34.6,45.8,5.44336,539.6453700000002,9,0.8841580267290331
1020,2018-07-01 17:05:00.000,1748.21393,13.44064,57.5,34.6,45.8,8.36139,1160.9203699999996,11,1.2136211091601803
1025,2018-07-01 17:10:00.000,1738.74432,13.36461,58.5,34.6,45.8,8.20996,1226.44363,11,0.9776270599814818
1030,2018-07-01 17:15:00.000,1728.11909,13.29257,59.5,34.6,45.8,8.92322,1858.1779999999999,1,1.3367804508154852
1035,2018-07-01 17:20:00.000,1749.11443,13.48066,59.5,34.6,45.8,9.79256,1796.7345,7,1.6219573063858408
1040,2018-07-01 17:25:00.000,1748.28915,13.412629999999998,60.5,34.6,45.8,9.01139,1737.76975,1,0.5135228938614972
1045,2018-07-01 17:30:00.000,1747.7036899999996,13.47866,60.5,34.6,45.8,8.42549,1335.51625,8,0.5117545941874115
1050,2018-07-01 17:35:00.000,1738.74432,13.40462,60.5,34.6,45.8,6.14164,1048.11694,0,1.698608796783274
1055,2018-07-01 17:40:00.000,1759.18452,13.38862,60.5,34.6,45.8,7.5987399999999985,1096.34025,11,0.7030109746713487
1060,2018-07-01 17:45:00.000,1738.41427,13.30257,60.5,34.6,45.8,6.809,914.4110000000001,0,0.6124257094296565
1065,2018-07-01 17:50:00.000,1740.63527,13.3566,60.5,34.6,45.8,7.99283,1058.01613,11,0.964721114069789
1070,2018-07-01 17:55:00.000,1764.51215,13.42463,61.5,34.6,45.8,7.89175,1224.52662,11,0.44637984037363276
1075,2018-07-01 18:00:00.000,1612.98221,12.35811,61.5,34.6,45.8,7.0732800000000005,741.8693099999998,0,1.3460426746931549
