,date,Generator_speed,Rotor_speed,Gearbox_oil_tem,Generator_bearing_tem_drive,Generator_bearing_tem_nondrive,wind_speed,active_power
129,2018-01-02 09:38:00.000,1105.92662,8.41816,49.9,27.1,38.4,3.41526,90.37201999999999
130,2018-01-02 10:50:00.000,1102.26477,8.43417,46.9,24.1,32.4,3.5470099999999998,116.24173
131,2018-01-02 11:00:00.000,1108.05767,8.442169999999999,47.9,24.1,32.4,3.64699,158.72645
132,2018-01-02 11:10:00.000,1106.04667,8.41416,47.9,24.1,32.4,3.47862,96.83481
135,2018-01-02 11:40:00.000,1096.1717800000001,8.44617,48.9,26.1,35.4,2.8857,71.12040999999998
136,2018-01-02 11:50:00.000,1095.1212699999999,8.436169999999999,48.9,26.1,36.4,2.64693,57.11082
137,2018-01-02 12:01:00.000,1095.63151,8.460180000000001,48.9,27.1,37.4,3.4571699999999996,122.27257
138,2018-01-02 12:11:00.000,1095.58646,8.42416,48.9,25.1,35.4,3.56621,109.51001000000001
139,2018-01-02 12:23:00.000,1101.0192,8.43017,48.9,25.1,35.4,4.69361,190.59378
141,2018-01-02 12:43:00.000,1100.1487300000001,8.43417,49.9,25.1,35.4,4.32566,211.63206
142,2018-01-02 12:53:00.000,1096.11179,8.42416,49.9,25.1,36.4,3.15085,126.31452
143,2018-01-02 13:03:00.000,1103.42039,8.45218,50.9,26.1,37.4,4.0696699999999995,231.10666
144,2018-01-02 13:13:00.000,1102.8500900000001,8.45818,50.9,26.1,37.4,4.0841,233.68694
145,2018-01-02 13:23:00.000,1108.88302,8.44818,50.9,25.1,35.4,3.59611,140.39564
146,2018-01-02 13:33:00.000,1369.3668400000001,10.43516,50.9,24.1,35.4,5.52154,439.69712000000004
147,2018-01-02 13:43:00.000,1121.0240199999996,8.53622,51.9,24.1,36.4,4.12211,243.86881
148,2018-01-02 13:53:00.000,1130.2536699999996,8.720310000000001,51.9,25.1,37.4,3.8787199999999995,253.96061
149,2018-01-02 14:03:00.000,1119.50832,8.538219999999999,51.9,26.1,38.4,2.68891,148.89525
150,2018-01-02 14:13:00.000,1106.03172,8.41816,52.9,26.1,40.4,3.40479,172.48878
151,2018-01-02 14:23:00.000,1230.5331099999999,9.48869,52.9,26.1,39.4,4.9344800000000015,332.74256
152,2018-01-02 14:33:00.000,1394.0539800000001,10.697289999999999,52.9,25.1,38.4,4.84785,478.58640999999994
153,2018-01-02 14:43:00.000,1141.4941800000001,8.724310000000001,53.9,25.1,40.4,4.35752,260.15952000000004
154,2018-01-02 14:53:00.000,1535.63396,11.7438,54.9,25.1,43.4,6.80885,624.17294
155,2018-01-02 15:04:00.000,1496.46461,11.52169,55.9,27.1,45.4,5.55671,597.06775
156,2018-01-02 15:14:00.000,1123.60532,8.60025,56.9,27.1,47.4,3.51113,249.20548
157,2018-01-02 15:24:00.000,1095.8867,8.41816,56.9,26.1,45.4,4.88075,208.96588
158,2018-01-02 15:34:00.000,1308.3767300000004,10.002939999999999,56.9,25.1,43.4,4.96058,380.93897000000004
159,2018-01-02 15:54:00.000,1279.4874,9.800839999999999,56.9,26.1,43.4,3.90331,364.47609
160,2018-01-02 16:04:00.000,1115.32129,8.572239999999999,56.9,26.1,43.4,5.13591,242.42732999999998
161,2018-01-02 16:14:00.000,1105.1612599999999,8.416160000000001,55.9,27.1,43.4,4.47297,170.45247
162,2018-01-02 16:24:00.000,1093.08024,8.40215,54.9,27.1,44.4,4.57445,176.23533999999995
163,2018-01-02 16:34:00.000,1298.51686,9.94091,52.9,27.1,41.4,4.271059999999999,381.68978
164,2018-01-02 16:44:00.000,1591.80682,12.198030000000001,51.9,25.1,39.4,6.13088,698.37938
165,2018-01-02 16:54:00.000,1287.65152,9.82085,51.9,25.1,40.4,6.06913,356.67053
166,2018-01-02 17:04:00.000,1100.0286800000001,8.43817,51.9,26.1,41.4,3.7897199999999995,152.5812
168,2018-01-02 17:24:00.000,1162.1594,8.84037,49.9,27.1,41.4,5.25303,264.88263
169,2018-01-02 17:34:00.000,1259.46749,9.64477,50.9,28.1,42.4,4.73977,350.04766
170,2018-01-02 17:44:00.000,1098.96316,8.41416,50.9,28.1,42.4,3.44299,97.91611999999999
171,2018-01-02 17:54:00.000,1103.07518,8.43417,50.9,27.1,39.4,2.81887,50.53671
172,2018-01-02 18:04:00.000,1096.592,8.44417,50.9,26.1,38.4,3.21143,158.5838
173,2018-01-02 18:14:00.000,1181.1137,9.1125,51.9,26.1,38.4,4.27388,297.88416
174,2018-01-02 18:24:00.000,1392.55329,10.567219999999999,52.9,26.1,39.4,5.4015699999999995,454.58230999999995
175,2018-01-02 18:34:00.000,1262.72413,9.7208,53.9,27.1,40.4,4.6531199999999995,355.15606
176,2018-01-02 18:44:00.000,1200.29325,9.126510000000001,53.9,27.1,40.4,4.59555,294.26497
178,2018-01-02 19:04:00.000,1101.70956,8.436169999999999,53.9,25.1,38.4,2.8113099999999998,40.82374
179,2018-01-02 19:14:00.000,1099.05325,8.43217,53.9,25.1,38.4,4.01903,228.30697999999998
180,2018-01-02 19:24:00.000,1258.74718,9.69679,53.9,25.1,38.4,4.08206,353.21175
181,2018-01-02 19:34:00.000,1154.3405599999999,8.79435,54.9,26.1,39.4,4.8242400000000005,263.695
182,2018-01-02 19:44:00.000,1196.5413800000001,9.126510000000001,54.9,26.1,40.4,5.47508,288.97291
184,2018-01-02 20:04:00.000,1142.42464,8.80035,54.9,24.1,37.4,4.6483300000000005,263.32816
185,2018-01-02 20:14:00.000,1098.03277,8.42216,54.9,24.1,37.4,4.10564,217.50939
187,2018-01-02 20:34:00.000,1113.73044,8.522210000000001,54.9,24.1,38.4,3.7270300000000014,189.43625
188,2018-01-02 20:44:00.000,1093.80062,8.41416,55.9,25.1,39.4,4.32942,206.39041
189,2018-01-02 20:54:00.000,1097.43244,8.43017,55.9,25.1,40.4,3.95424,166.75417
190,2018-01-02 21:04:00.000,1134.66586,8.724310000000001,55.9,24.1,39.4,4.37403,258.49525
191,2018-01-02 21:15:00.000,1101.03422,8.44417,55.9,23.1,37.4,4.3391,193.5432
192,2018-01-02 21:25:00.000,1097.52239,8.460180000000001,55.9,23.1,37.4,4.48881,233.16362
193,2018-01-02 21:35:00.000,1101.55947,8.44017,55.9,23.1,37.4,2.82857,57.02993000000001
195,2018-01-02 21:55:00.000,1094.70105,8.43017,55.9,25.1,39.4,3.16712,105.76194
196,2018-01-02 22:05:00.000,1103.06016,8.436169999999999,55.9,25.1,40.4,3.6392800000000003,132.58153000000001
197,2018-01-02 22:15:00.000,1171.8691800000001,8.8924,55.9,24.1,38.4,5.68395,270.55028
198,2018-01-02 22:25:00.000,1114.4207900000001,8.538219999999999,55.9,23.1,37.4,4.21379,240.48909
199,2018-01-02 22:35:00.000,1106.06168,8.42216,55.9,23.1,37.4,4.1021,136.20369
200,2018-01-02 22:45:00.000,1094.83612,8.436169999999999,55.9,23.1,37.4,4.7401,223.29719
201,2018-01-02 22:55:00.000,1093.32034,8.42817,55.9,24.1,38.4,2.9965,95.33935
202,2018-01-02 23:05:00.000,1102.8500900000001,8.426160000000001,55.9,25.1,40.4,2.9638299999999997,75.4574
203,2018-01-02 23:30:00.000,1099.59345,8.426160000000001,54.9,24.1,37.4,4.01198,154.77558
204,2018-01-02 23:40:00.000,1107.2622800000001,8.426160000000001,54.9,24.1,37.4,2.8043400000000003,71.61468
205,2018-01-02 23:50:00.000,1106.8871,8.42817,54.9,24.1,37.4,3.11217,125.96382
206,2018-01-03 00:01:00.000,1100.91409,8.43417,54.9,25.1,38.4,3.16905,17.75006
207,2018-01-03 00:54:00.000,1100.40385,8.43017,52.9,26.1,38.4,2.94477,114.26193
208,2018-01-03 01:04:00.000,1096.08176,8.43217,53.9,26.1,38.4,3.6672,122.97627
210,2018-01-03 01:24:00.000,1099.9086300000001,8.43017,53.9,27.1,40.4,2.61171,57.688559999999995
211,2018-01-03 01:34:00.000,1108.13267,8.43017,53.9,25.1,37.4,3.25935,92.29859
212,2018-01-03 01:44:00.000,1106.42184,8.42817,53.9,24.1,37.4,4.12159,131.66619
213,2018-01-03 01:54:00.000,1095.34636,8.43417,53.9,24.1,37.4,3.2138400000000003,132.78287
214,2018-01-03 02:04:00.000,1102.9701400000001,8.44017,53.9,24.1,37.4,3.0724299999999998,129.01746
215,2018-01-03 02:14:00.000,1095.69157,8.43217,53.9,25.1,38.4,3.60477,216.41109
216,2018-01-03 02:24:00.000,1107.29231,8.426160000000001,53.9,26.1,39.4,3.55185,190.53875
217,2018-01-03 02:34:00.000,1108.2528,8.426160000000001,53.9,25.1,39.4,3.20004,151.74116999999995
218,2018-01-03 02:44:00.000,1106.3318199999999,8.426160000000001,53.9,23.1,37.4,3.3527,159.06897
219,2018-01-03 02:54:00.000,1094.13075,8.43017,53.9,23.1,36.4,2.8797,104.0841
220,2018-01-03 03:04:00.000,1106.61697,8.41216,53.9,23.1,36.4,3.6867699999999997,103.74648
221,2018-01-03 03:14:00.000,1107.17218,8.42416,53.9,23.1,37.4,2.97748,115.42752
222,2018-01-03 03:24:00.000,1107.80255,8.442169999999999,53.9,24.1,37.4,2.60003,85.93361
224,2018-01-03 03:44:00.000,1105.53643,8.42817,53.9,25.1,39.4,3.81284,170.49025
