Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power
1106.18173,8.43017,56.5,38.6,44.8,3.81246,218.43517000000003
1264.02976,9.69679,57.5,38.6,44.8,5.70408,354.56628
1325.37995,10.19904,57.5,38.6,44.8,5.6316,413.76528
1710.11011,13.08847,57.5,38.6,44.8,7.15332,881.07612
1602.74724,12.23605,58.5,38.6,44.8,6.4181599999999985,712.93756
1503.44309,11.56772,58.5,38.6,44.8,6.7472699999999985,606.49675
1492.96801,11.34161,58.5,38.6,44.8,6.7,557.10662
1433.10335,11.04746,58.5,39.6,45.8,5.58441,528.12112
1508.93589,11.57772,58.5,39.6,45.8,7.32511,606.53156
1384.53918,10.56122,58.5,39.6,45.8,6.8082600000000015,454.07944
1130.7489,8.66628,57.5,39.6,45.8,4.7857400000000005,255.68636
1538.68053,11.86586,57.5,39.6,45.8,6.87368,649.31225
1619.01513,12.28807,57.5,39.6,45.8,7.68633,707.48888
1598.59009,12.29007,57.5,39.6,45.8,6.40165,721.93081
1295.29025,9.87088,57.5,39.6,45.8,4.7089300000000005,374.40956
1377.20076,10.56522,57.5,39.6,45.8,6.10426,458.66603
1466.79505,11.29958,57.5,39.6,45.8,6.6285,556.20262
1251.55863,9.60875,57.5,39.6,45.8,5.6009400000000005,345.63462000000015
1206.65637,9.21455,57.5,39.6,45.8,5.72764,305.42156
1538.48532,11.71179,57.5,39.6,45.8,6.16746,623.41612
1519.59115,11.68978,57.5,39.6,45.8,6.2156400000000005,624.40806
1478.42575,11.40564,57.5,39.6,45.8,6.16072,576.18831
1548.51037,11.89388,57.5,39.6,45.8,6.4169300000000025,658.91725
1398.93143,10.7233,57.5,39.6,45.8,6.47618,482.25356
1285.56537,9.82486,57.5,38.6,45.8,4.48449,370.50247
1131.91939,8.67029,57.5,38.6,45.8,4.9934400000000005,247.89345
1235.57574,9.5007,56.5,38.6,45.8,5.02798,334.94056
1265.99564,9.7048,56.5,38.6,45.8,5.7595199999999975,354.5245
1374.42433,10.48118,56.5,38.6,44.8,6.78852,450.33397
1170.45844,8.978439999999997,56.5,38.6,44.8,4.66915,281.38069
1102.39991,8.43817,55.5,38.6,44.8,4.27642,201.25194
1106.79708,8.42817,55.5,37.6,44.8,5.13396,188.27553
1101.21433,8.43217,54.5,37.6,44.8,3.33629,157.5545
1264.43489,9.74081,54.5,37.6,43.8,5.8672900000000014,357.68819
1185.31589,9.1085,54.5,37.6,43.8,4.8038,291.52784
1096.68202,8.416160000000001,54.5,37.6,43.8,3.39951,123.94182
1108.40281,8.43217,53.5,37.6,43.8,3.53232,170.57348000000005
1099.75855,8.40415,53.5,37.6,43.8,4.9162300000000005,184.83912
1104.48584,8.42216,53.5,36.6,42.8,4.45498,156.07478
1206.8515,9.24657,52.5,36.6,42.8,5.04015,305.91003
1161.5291,8.94642,52.5,36.6,42.8,4.7568800000000016,280.40056
1237.66174,9.5027,52.5,36.6,42.8,4.3806699999999985,332.08947
1250.6281,9.63276,52.5,36.6,42.8,5.4875099999999986,347.60759
1249.47262,9.5167,52.5,36.6,42.8,4.4568400000000015,336.95566
1145.78632,8.77834,52.5,36.6,42.8,4.0324,264.01099999999997
1142.24452,8.77234,52.5,36.6,42.8,4.55195,260.1558
1113.74545,8.54422,52.5,36.6,41.8,4.49409,241.11502
1217.52178,9.36863,52.5,35.6,41.8,5.2114400000000005,317.32684
1219.60779,9.37063,52.5,35.6,41.8,5.62218,317.66159
1288.58176,9.92891,52.5,35.6,41.8,5.85536,378.75359
1302.10355,9.99094,52.5,35.6,41.8,5.74496,384.92519
1287.95154,9.81685,52.5,35.6,41.8,4.71681,368.18253
1203.77498,9.26858,52.5,35.6,41.8,5.23531,307.76356
1099.32339,8.42416,52.5,35.6,41.8,4.56806,188.26692
1209.34271,9.32261,52.5,35.6,41.8,4.78768,314.60856
1229.72285,9.34662,52.5,35.6,41.8,4.3337900000000005,317.90284
1323.78932,10.19904,52.5,35.6,41.8,5.58581,410.12662
1320.03731,10.07098,52.5,35.6,41.8,5.06602,396.93419
1315.3251699999996,10.09499,52.5,35.6,41.8,5.10042,399.34316
1241.53359,9.49469,52.5,35.6,41.8,4.33087,333.28834
1321.5982,10.13901,52.5,35.6,41.8,5.93458,403.46019
1287.30616,9.90289,52.5,35.6,41.8,5.54087,378.73697
1279.81745,9.81885,52.5,35.6,41.8,4.29516,367.63953
1281.15326,9.80084,52.5,35.6,41.8,5.43459,364.29119
1249.48764,9.60675,52.5,35.6,41.8,4.5460699999999985,343.4635600000001
1298.48682,10.00094,52.5,35.6,41.8,5.47203,389.39831
1332.44852,10.23106,52.5,34.6,41.8,5.36669,418.33591
1100.70402,8.44017,52.5,34.6,41.8,4.67784,230.04709
1156.48662,8.9064,52.5,34.6,41.8,5.8838599999999985,273.89647
1115.86149,8.4962,52.5,34.6,41.8,4.636819999999998,238.30914
1127.44721,8.588239999999999,52.5,34.6,40.8,4.49454,246.73975
1147.15194,8.76633,52.5,34.6,40.8,5.21536,262.49097
1102.0547,8.43017,52.5,34.6,40.8,4.63279,217.84764
1112.45484,8.47419,51.5,34.6,40.8,5.00922,236.43639
1170.21834,8.94442,51.5,34.6,40.8,4.9402599999999985,276.73787000000004
1183.59004,9.07649,51.5,34.6,40.8,4.83205,288.71703
1117.87249,8.57024,51.5,34.6,40.8,5.02815,244.19516
1131.34916,8.7023,51.5,34.6,40.8,4.98107,254.48809
1134.2455699999996,8.634269999999999,51.5,34.6,40.8,4.39907,251.60722
1106.93208,8.436169999999999,51.5,34.6,40.8,4.46962,221.66291
1100.82407,8.436169999999999,51.5,34.6,40.8,4.24681,174.02559
1099.15821,8.41816,51.5,34.6,40.8,4.33767,169.65191000000004
